imdbID,Awards,Prime_Won,Oscar_Won,Golden_Globe_Won,BAFTA_Won,Prime_Nominated,Oscar_Nominated,Golden_Globe_Nominated,BAFTA_Nominated,Total_Wins,Total_Nominations
tt1843866,Nominated for 1 Oscar. Another 5 wins & 49 nominations.,0,0,0,0,0,1,0,0,5,50
tt1860353,1 win & 11 nominations.,0,0,0,0,0,0,0,0,0,11
tt1865505,Nominated for 1 Oscar. Another 11 wins & 21 nominations.,0,0,0,0,0,1,0,0,11,22
tt1872181,3 wins & 29 nominations.,0,0,0,0,0,0,0,0,3,29
tt1877832,Nominated for 1 Oscar. Another 15 wins & 42 nominations.,0,0,0,0,0,1,0,0,15,43
tt1905041,8 wins & 21 nominations.,0,0,0,0,0,0,0,0,8,21
tt1911644,1 win & 10 nominations.,0,0,0,0,0,0,0,0,0,10
tt1911658,1 win & 6 nominations.,0,0,0,0,0,0,0,0,0,6
tt1921149,Nominated for 1 BAFTA Film Award. Another 2 wins & 4 nominations.,0,0,0,0,0,0,0,1,2,5
tt1924435,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt1931435,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt1939659,5 wins & 7 nominations.,0,0,0,0,0,0,0,0,5,7
tt1951261,2 wins & 6 nominations.,0,0,0,0,0,0,0,0,2,6
tt1951264,Nominated for 1 Golden Globe. Another 21 wins & 59 nominations.,0,0,0,0,0,0,1,0,21,60
tt1951265,Nominated for 1 Golden Globe. Another 16 wins & 26 nominations.,0,0,0,0,0,0,1,0,16,27
tt1956620,2 wins & 3 nominations.,0,0,0,0,0,0,0,0,2,3
tt1964773,8 wins & 6 nominations.,0,0,0,0,0,0,0,0,8,6
tt1972571,2 wins & 5 nominations.,0,0,0,0,0,0,0,0,2,5
tt1981115,2 wins & 18 nominations.,0,0,0,0,0,0,0,0,2,18
tt1985966,16 nominations.,0,0,0,0,0,0,0,0,0,16
tt2002718,3 nominations.,0,0,0,0,0,0,0,0,0,3
tt2004420,6 wins & 11 nominations.,0,0,0,0,0,0,0,0,6,11
tt2015381,Nominated for 2 Oscars. Another 48 wins & 92 nominations.,0,0,0,0,0,2,0,0,48,94
tt2017038,Nominated for 1 Oscar. Another 3 wins & 45 nominations.,0,0,0,0,0,1,0,0,3,46
tt2017486,9 wins & 3 nominations.,0,0,0,0,0,0,0,0,9,3
tt2024469,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2024544,Won 3 Oscars. Another 234 wins & 312 nominations.,0,3,0,0,0,0,0,0,237,312
tt2096672,1 win & 6 nominations.,0,0,0,0,0,0,0,0,0,6
tt2140373,Nominated for 1 Oscar. Another 12 wins & 71 nominations.,0,0,0,0,0,1,0,0,12,72
tt2167266,2 wins & 18 nominations.,0,0,0,0,0,0,0,0,2,18
tt2172985,5 nominations.,0,0,0,0,0,0,0,0,0,5
tt2180411,Nominated for 3 Oscars. Another 11 wins & 69 nominations.,0,0,0,0,0,3,0,0,11,72
tt2190838,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2191082,1 win & 1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2193265,1 win.,0,0,0,0,0,0,0,0,0,0
tt2194499,3 wins & 9 nominations.,0,0,0,0,0,0,0,0,3,9
tt2199543,8 wins & 11 nominations.,0,0,0,0,0,0,0,0,8,11
tt2201251,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt2203939,3 wins & 4 nominations.,0,0,0,0,0,0,0,0,3,4
tt2209764,2 wins & 5 nominations.,0,0,0,0,0,0,0,0,2,5
tt2229499,1 win & 28 nominations.,0,0,0,0,0,0,0,0,0,28
tt2234261,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2243537,1 win & 1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2244901,1 win & 1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2245084,Won 1 Oscar. Another 13 wins & 53 nominations.,0,1,0,0,0,0,0,0,14,53
tt2262227,Nominated for 1 Golden Globe. Another 3 wins & 27 nominations.,0,0,0,0,0,0,1,0,3,28
tt2265398,1 win & 3 nominations.,0,0,0,0,0,0,0,0,0,3
tt2278388,Won 4 Oscars. Another 122 wins & 213 nominations.,0,4,0,0,0,0,0,0,126,213
tt2281587,3 wins & 11 nominations.,0,0,0,0,0,0,0,0,3,11
tt2292959,2 wins & 2 nominations.,0,0,0,0,0,0,0,0,2,2
tt2294629,Won 2 Oscars. Another 72 wins & 57 nominations.,0,2,0,0,0,0,0,0,74,57
tt2310332,Nominated for 1 Oscar. Another 6 wins & 45 nominations.,0,0,0,0,0,1,0,0,6,46
tt2316801,1 win & 3 nominations.,0,0,0,0,0,0,0,0,0,3
tt2324384,5 wins & 2 nominations.,0,0,0,0,0,0,0,0,5,2
tt2333784,1 win & 4 nominations.,0,0,0,0,0,0,0,0,0,4
tt2339741,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2357291,1 win & 19 nominations.,0,0,0,0,0,0,0,0,0,19
tt2357377,2 wins & 5 nominations.,0,0,0,0,0,0,0,0,2,5
tt2369135,1 win & 1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2377322,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt2382009,14 wins & 26 nominations.,0,0,0,0,0,0,0,0,14,26
tt2382396,4 wins & 9 nominations.,0,0,0,0,0,0,0,0,4,9
tt2393845,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt2404311,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2404461,Nominated for 1 Golden Globe. Another 12 wins & 35 nominations.,0,0,0,0,0,0,1,0,12,36
tt2418372,4 nominations.,0,0,0,0,0,0,0,0,0,4
tt2450186,1 win & 6 nominations.,0,0,0,0,0,0,0,0,0,6
tt2473682,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt2515030,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2531282,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2597242,1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2609758,1 win & 6 nominations.,0,0,0,0,0,0,0,0,0,6
tt2639254,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt2669336,18 wins & 5 nominations.,0,0,0,0,0,0,0,0,18,5
tt2737050,Nominated for 1 Oscar. Another 38 wins & 74 nominations.,0,0,0,0,0,1,0,0,38,75
tt2764784,15 wins & 27 nominations.,0,0,0,0,0,0,0,0,15,27
tt2771372,6 nominations.,0,0,0,0,0,0,0,0,0,6
tt2788710,1 win & 3 nominations.,0,0,0,0,0,0,0,0,0,3
tt2793490,6 wins & 15 nominations.,0,0,0,0,0,0,0,0,6,15
tt2802144,6 wins & 19 nominations.,0,0,0,0,0,0,0,0,6,19
tt2908856,1 win & 1 nomination.,0,0,0,0,0,0,0,0,0,0
tt2975578,1 win & 4 nominations.,0,0,0,0,0,0,0,0,0,4
tt2978462,2 nominations.,0,0,0,0,0,0,0,0,0,2
tt2980706,6 nominations.,0,0,0,0,0,0,0,0,0,6
tt3125472,15 wins & 30 nominations.,0,0,0,0,0,0,0,0,15,30
tt3169706,Nominated for 1 Golden Globe. Another 8 wins & 16 nominations.,0,0,0,0,0,0,1,0,8,17
